name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Mohamed Salah,Liverpool,31,"AM(CLR),FW",2763,23,13,1,0,4.0,0.799,0.2,7,7.54
Trent Alexander Arnold,Liverpool,24,"D(R),DMC,M(R)",2854,2,12,2,0,1.6,0.7809999999999999,0.5,5,7.52
Luis Díaz,Liverpool,26,AM(L),964,4,3,0,0,2.9,0.877,1.2,1,7.44
Joël Matip,Liverpool,32,D(C),2790,3,3,2,0,1.1,0.885,3.5,5,7.36
Sadio Mané,Liverpool,31,"AM(CLR),FW",2825,16,2,5,0,2.9,0.773,0.9,3,7.3
Andy Robertson,Liverpool,29,"D(L),M(L)",2541,3,10,5,1,0.6,0.852,0.9,2,7.23
Virgil van Dijk,Liverpool,32,D(C),3060,3,1,3,0,1.0,0.895,3.4,0,7.18
Jarrod Bowen,West Ham,26,"AM(CLR),FW",2993,12,10,6,0,2.2,0.762,1.1,4,7.14
Declan Rice,West Ham,24,"D(C),DMC",3178,1,4,8,0,0.7,0.9159999999999999,1.2,1,7.1
Thiago Alcântara,Liverpool,32,M(C),1538,1,4,2,0,1.0,0.8909999999999999,1.3,0,7.1
Diogo Jota,Liverpool,26,"AM(CLR),FW",2373,15,4,3,0,2.6,0.7490000000000001,1.1,4,7.09
Kostas Tsimikas,Liverpool,27,D(L),874,0,2,3,0,0.6,0.813,0.9,0,7.04
Caoimhín Kelleher,Liverpool,24,GK,180,0,0,0,0,0.0,0.897,0.5,0,7.02
Fabinho,Liverpool,29,"D(CR),DMC",2316,5,1,7,0,0.7,0.875,1.5,1,7.0
Tomás Soucek,West Ham,28,DMC,3062,5,1,3,0,1.3,0.7659999999999999,3.8,1,6.97
Michail Antonio,West Ham,33,"D(R),M(CLR),FW",2981,10,8,6,1,2.3,0.675,2.2,2,6.92
Neco Williams,Liverpool,22,"D(LR),M(LR)",7,0,1,0,0,0.0,1.0,0.0,0,6.9
Ibrahima Konaté,Liverpool,24,D(C),990,0,0,2,0,0.4,0.8809999999999999,3.1,0,6.89
Alisson Becker,Liverpool,30,GK,3240,0,1,0,0,0.0,0.855,0.4,1,6.88
Jordan Henderson,Liverpool,33,"D(C),M(CLR)",2604,2,5,3,0,0.9,0.855,0.5,0,6.87
Curtis Jones,Liverpool,22,AM(CL),856,1,1,0,0,1.3,0.905,0.5,0,6.86
Saïd Benrahma,West Ham,28,AM(CLR),2184,8,6,0,0,2.0,0.8109999999999999,0.3,2,6.86
Roberto Firmino,Liverpool,31,"M(CLR),FW",987,5,4,3,0,1.5,0.7879999999999999,0.7,1,6.85
Pablo Fornals,West Ham,27,M(CLR),2804,6,3,4,0,1.2,0.7809999999999999,0.6,2,6.8
Naby Keïta,Liverpool,28,M(C),1175,3,1,3,0,1.1,0.86,0.3,0,6.79
Lukasz Fabianski,West Ham,38,GK,3330,0,0,2,0,0.0,0.5920000000000001,0.3,1,6.76
Aaron Cresswell,West Ham,33,"D(CL),M(L)",2728,2,3,3,0,0.6,0.826,1.0,0,6.75
Kurt Zouma,West Ham,28,D(CR),2080,1,0,1,0,0.3,0.877,2.1,0,6.74
Craig Dawson,West Ham,33,D(CR),2754,2,2,4,1,0.7,0.809,2.8,0,6.7
Arthur Masuaku,West Ham,29,"D(L),M(L)",645,1,1,1,0,0.3,0.799,1.2,0,6.67
Angelo Ogbonna,West Ham,35,D(C),922,1,0,1,0,0.3,0.852,2.5,1,6.66
Ben Johnson,West Ham,23,"D(CLR),M(LR)",1401,1,0,1,0,0.3,0.708,0.8,0,6.65
Manuel Lanzini,West Ham,30,M(CLR),1789,5,3,2,0,0.5,0.919,0.2,1,6.64
James Milner,Liverpool,37,"D(LR),M(CLR)",851,0,1,2,0,0.4,0.86,0.5,0,6.6
Divock Origi,Liverpool,28,"AM(LR),FW",127,3,0,0,0,1.4,0.757,0.3,0,6.6
Harvey Elliott,Liverpool,20,AM(CR),346,0,0,0,0,1.7,0.8420000000000001,0.3,0,6.57
Vladimír Coufal,West Ham,30,"D(R),M(R)",2211,0,4,3,1,0.4,0.7140000000000001,1.2,0,6.56
Joe Gomez,Liverpool,26,D(CLR),331,0,1,2,0,0.1,0.833,1.3,0,6.56
Alphonse Areola,West Ham,30,GK,90,0,0,0,0,0.0,0.486,0.0,0,6.56
Alex Oxlade Chamberlain,Liverpool,29,M(CLR),787,2,1,0,0,1.2,0.823,0.3,0,6.55
Issa Diop,West Ham,26,D(C),962,0,1,0,0,0.2,0.851,1.2,0,6.45
Takumi Minamino,Liverpool,28,"AM(CLR),FW",179,3,0,1,0,0.6,0.853,0.1,1,6.38
Nikola Vlasic,West Ham,25,"AM(CLR),FW",555,1,0,0,0,0.4,0.8079999999999999,0.3,0,6.22
Mark Noble,West Ham,36,M(C),327,1,0,0,0,0.2,0.879,0.1,0,6.2
Harrison Ashby,West Ham,21,Defender,6,0,0,0,0,0.0,1.0,0.0,0,6.17
Ryan Fredericks,West Ham,30,"D(R),M(R)",304,0,0,1,0,0.0,0.782,0.4,0,6.15
Andrii Yarmolenko,West Ham,33,"AM(CR),FW",304,1,0,1,0,0.6,0.772,0.3,0,6.15
Tyler Morton,Liverpool,20,DMC,66,0,0,1,0,0.0,0.857,1.0,0,6.13
Kaide Gordon,Liverpool,18,Forward,8,0,0,0,0,1.0,1.0,0.0,0,6.08
Sonny Perkins,West Ham,19,Forward,3,0,0,0,0,0.0,0.0,1.0,0,6.08
Alex Král,West Ham,25,DMC,1,0,0,0,0,0.0,0.0,1.0,0,6.0
Daniel Chesters,West Ham,21,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,6.0
