home,away,home_score,away_score
Manchester City,Leicester,1,0
Brighton,Manchester City,1,4
Burnley,Arsenal,1,3
Crystal Palace,Bournemouth,5,3
Fulham,Newcastle,0,4
Leicester,Chelsea,0,0
Liverpool,Wolves,2,0
Manchester United,Cardiff,0,2
Southampton,Huddersfield,1,1
Tottenham,Everton,2,2
Watford,West Ham,1,4
Manchester City,Leicester,1,0
Brighton,Manchester City,1,4
Burnley,Arsenal,1,3
Crystal Palace,Bournemouth,5,3
Fulham,Newcastle,0,4
Leicester,Chelsea,0,0
Liverpool,Wolves,2,0
Manchester United,Cardiff,0,2
Southampton,Huddersfield,1,1
Tottenham,Everton,2,2
Watford,West Ham,1,4
Everton,Burnley,2,0
Bournemouth,Tottenham,1,0
West Ham,Southampton,3,0
Wolves,Fulham,1,0
Cardiff,Crystal Palace,2,3
Newcastle,Liverpool,2,3
Chelsea,Watford,3,0
Huddersfield,Manchester United,1,1
Arsenal,Brighton,1,1
Chelsea,Burnley,2,2
Tottenham,Brighton,1,0
Watford,Southampton,1,1
Wolves,Arsenal,3,1
Manchester United,Manchester City,0,2
Liverpool,Huddersfield,5,0
Tottenham,West Ham,0,1
Watford,Wolves,1,2
Southampton,Bournemouth,3,3
Crystal Palace,Everton,0,0
Fulham,Cardiff,1,0
Brighton,Newcastle,1,1
Leicester,Arsenal,3,0
Burnley,Manchester City,0,1
Manchester United,Chelsea,1,1
Watford,Arsenal,0,1
Brighton,Cardiff,0,2
Manchester City,Tottenham,1,0
West Ham,Leicester,2,2
Wolves,Brighton,0,0
Bournemouth,Fulham,0,1
Huddersfield,Watford,1,2
Newcastle,Southampton,3,1
Everton,Manchester United,4,0
Cardiff,Liverpool,0,2
Arsenal,Crystal Palace,2,3
Chelsea,West Ham,2,0
Leicester,Newcastle,0,1
Tottenham,Huddersfield,4,0
Southampton,Wolves,3,1
Fulham,Everton,2,0
Brighton,Bournemouth,0,5
Burnley,Cardiff,2,0
Manchester United,West Ham,2,1
