name,team,min,goal,assist,shot,pass,aer,mom,rating
Kevin De Bruyne,Man City,2425,7,16,2.0,0.8079999999999999,0.4,9,7.58
Erling Haaland,Man City,2779,36,8,3.5,0.748,1.4,6,7.54
Harry Kane,Tottenham,3408,30,3,3.4,0.72,1.7,8,7.51
Bruno Fernandes,Man Utd,3320,8,8,2.5,0.777,0.5,6,7.44
Gabriel Jesus,Arsenal,2075,11,6,3.0,0.815,1.7,4,7.42
Kieran Trippier,Newcastle,3348,1,7,0.4,0.76,1.3,8,7.41
Bukayo Saka,Arsenal,3195,14,11,2.3,0.809,0.4,4,7.4
Solly March,Brighton,2728,7,7,2.2,0.7859999999999999,0.9,6,7.38
Jack Grealish,Man City,2064,5,7,1.5,0.8759999999999999,0.5,3,7.33
Martin Ødegaard,Arsenal,3149,15,7,2.5,0.84,0.4,7,7.29
Asmir Begovic,Everton,90,0,0,0.0,0.64,1.0,1,7.82
Kevin De Bruyne,Man City,2425,7,16,2.0,0.8079999999999999,0.4,9,7.58
Stefan Ortega,Man City,270,0,0,0.0,0.8540000000000001,0.3,1,7.56
Erling Haaland,Man City,2779,36,8,3.5,0.748,1.4,6,7.54
Harry Kane,Tottenham,3408,30,3,3.4,0.72,1.7,8,7.51
Bruno Fernandes,Man Utd,3320,8,8,2.5,0.777,0.5,6,7.44
Gabriel Jesus,Arsenal,2075,11,6,3.0,0.815,1.7,4,7.42
Kieran Trippier,Newcastle,3348,1,7,0.4,0.76,1.3,8,7.41
Bukayo Saka,Arsenal,3195,14,11,2.3,0.809,0.4,4,7.4
Solly March,Brighton,2728,7,7,2.2,0.7859999999999999,0.9,6,7.38
Jack Grealish,Man City,2064,5,7,1.5,0.8759999999999999,0.5,3,7.33
Martin Ødegaard,Arsenal,3149,15,7,2.5,0.84,0.4,7,7.29
Rodri,Man City,2921,2,6,1.4,0.9129999999999999,2.0,3,7.26
Gabriel Martinelli,Arsenal,2806,15,5,2.2,0.8240000000000001,0.4,4,7.25
Ivan Toney,Brentford,2955,20,4,2.8,0.62,3.3,5,7.25
Joelinton,Newcastle,2664,6,1,1.6,0.823,2.1,3,7.24
James Maddison,Leicester,2486,10,9,2.8,0.795,0.1,3,7.24
Rodrigo Bentancur,Tottenham,1506,5,2,0.8,0.852,0.8,1,7.22
Bruno Guimarães,Newcastle,2735,4,5,0.9,0.846,0.6,1,7.21
Casemiro,Man Utd,2126,4,3,1.2,0.785,2.0,5,7.17
Mohamed Salah,Liverpool,3297,19,12,3.3,0.7809999999999999,0.2,3,7.16
Phil Foden,Man City,1844,11,5,1.4,0.861,0.6,3,7.13
Ilkay Gündogan,Man City,2359,8,4,1.7,0.882,0.6,2,7.11
Trent Alexander Arnold,Liverpool,2932,2,9,1.1,0.787,0.5,2,7.11
Ethan Pinnock,Brentford,2700,3,0,0.5,0.802,3.5,2,7.11
Aleksandar Mitrovic,Fulham,2015,14,1,3.9,0.605,4.2,4,7.08
Marcus Rashford,Man Utd,2890,17,5,3.1,0.787,0.6,6,7.08
Reece James,Chelsea,1244,1,1,1.0,0.907,1.4,0,7.07
Thomas Partey,Arsenal,2487,3,0,0.8,0.88,1.1,1,7.06
Felipe,Nottingham Forest,1419,0,1,0.8,0.73,3.3,0,7.06
