home,away,home_score,away_score
Bayern Munich,Augsburg,5,2
Borussia Dortmund,Bayer Leverkusen,3,1
Hoffenheim,Hertha Berlin,2,1
Wolfsburg,Mainz 05,2,3
Eintracht Frankfurt,Freiburg,3,1
Union Berlin,RB Leipzig,2,1
FC Koln,Schalke 04,1,0
Werder Bremen,Borussia M.Gladbach,2,4
VfB Stuttgart,Arminia Bielefeld,0,2
Bayern Munich,Augsburg,5,2
Borussia Dortmund,Bayer Leverkusen,3,1
Hoffenheim,Hertha Berlin,2,1
Wolfsburg,Mainz 05,2,3
Eintracht Frankfurt,Freiburg,3,1
Union Berlin,RB Leipzig,2,1
FC Koln,Schalke 04,1,0
Werder Bremen,Borussia M.Gladbach,2,4
VfB Stuttgart,Arminia Bielefeld,0,2
Schalke 04,Hertha Berlin,1,2
Augsburg,Werder Bremen,2,0
Arminia Bielefeld,Hoffenheim,1,1
Borussia M.Gladbach,VfB Stuttgart,1,2
Bayer Leverkusen,Union Berlin,1,1
Freiburg,Bayern Munich,2,2
Hertha Berlin,FC Koln,0,0
Schalke 04,Eintracht Frankfurt,4,3
Mainz 05,Borussia Dortmund,1,3
RB Leipzig,Wolfsburg,2,2
Mainz 05,Hertha Berlin,1,1
Hertha Berlin,Freiburg,3,0
VfB Stuttgart,Augsburg,2,1
Werder Bremen,Bayer Leverkusen,0,0
Borussia Dortmund,RB Leipzig,3,2
Hoffenheim,Schalke 04,4,2
Wolfsburg,Union Berlin,3,0
Bayern Munich,Borussia M.Gladbach,6,0
FC Koln,Freiburg,1,4
Eintracht Frankfurt,Mainz 05,1,1
Hertha Berlin,Arminia Bielefeld,0,0
FC Koln,RB Leipzig,2,1
Eintracht Frankfurt,Augsburg,2,0
Bayern Munich,Bayer Leverkusen,2,0
Arminia Bielefeld,Schalke 04,1,0
VfB Stuttgart,Wolfsburg,1,3
Borussia Dortmund,Union Berlin,2,0
Hoffenheim,Borussia M.Gladbach,3,2
Werder Bremen,Mainz 05,0,1
Augsburg,FC Koln,2,3
Wolfsburg,Borussia Dortmund,0,2
Freiburg,Hoffenheim,1,1
Union Berlin,Werder Bremen,3,1
Mainz 05,Bayern Munich,2,1
Bayer Leverkusen,Eintracht Frankfurt,3,1
RB Leipzig,VfB Stuttgart,2,0
Borussia M.Gladbach,Arminia Bielefeld,5,0
Hoffenheim,Bayer Leverkusen,0,0
RB Leipzig,Hoffenheim,0,0
Borussia M.Gladbach,Eintracht Frankfurt,4,0
Wolfsburg,Bayern Munich,2,3
Freiburg,Schalke 04,4,0
Union Berlin,VfB Stuttgart,2,1
Augsburg,Arminia Bielefeld,0,0
Bayer Leverkusen,FC Koln,3,0
Borussia Dortmund,Werder Bremen,4,1
Arminia Bielefeld,Freiburg,1,0
Werder Bremen,RB Leipzig,1,4
Bayern Munich,Union Berlin,1,1
Eintracht Frankfurt,Wolfsburg,4,3
Hertha Berlin,Borussia M.Gladbach,2,2
VfB Stuttgart,Borussia Dortmund,2,3
Schalke 04,Augsburg,1,0
FC Koln,Mainz 05,2,3
Borussia Dortmund,Eintracht Frankfurt,1,2
Bayer Leverkusen,Schalke 04,2,1
Wolfsburg,FC Koln,1,0
Mainz 05,Arminia Bielefeld,1,1
Augsburg,Hoffenheim,2,1
RB Leipzig,Bayern Munich,0,1
Borussia M.Gladbach,Freiburg,2,1
VfB Stuttgart,Werder Bremen,1,0
Union Berlin,Hertha Berlin,1,1
Arminia Bielefeld,RB Leipzig,0,1
FC Koln,Borussia Dortmund,2,2
Werder Bremen,Wolfsburg,1,2
Bayern Munich,VfB Stuttgart,4,0
Eintracht Frankfurt,Union Berlin,5,2
Schalke 04,Borussia M.Gladbach,0,3
Hoffenheim,Mainz 05,1,2
Hertha Berlin,Bayer Leverkusen,3,0
Freiburg,Augsburg,2,0
Arminia Bielefeld,Werder Bremen,0,2
Augsburg,Borussia M.Gladbach,3,1
Werder Bremen,Bayern Munich,1,3
Wolfsburg,Schalke 04,5,0
Union Berlin,FC Koln,2,1
Mainz 05,Freiburg,1,0
Borussia Dortmund,Hertha Berlin,2,0
Bayer Leverkusen,Arminia Bielefeld,1,2
RB Leipzig,Eintracht Frankfurt,1,1
VfB Stuttgart,Hoffenheim,2,0
Schalke 04,Mainz 05,0,0
Hertha Berlin,Augsburg,2,1
Borussia M.Gladbach,Bayer Leverkusen,0,1
Hoffenheim,Wolfsburg,2,1
Freiburg,RB Leipzig,0,3
Eintracht Frankfurt,VfB Stuttgart,1,1
Bayern Munich,Borussia Dortmund,4,2
FC Koln,Werder Bremen,1,1
Arminia Bielefeld,Union Berlin,0,0
Werder Bremen,Eintracht Frankfurt,2,1
VfB Stuttgart,Schalke 04,5,1
Wolfsburg,Hertha Berlin,2,0
Bayern Munich,FC Koln,5,1
Borussia Dortmund,Arminia Bielefeld,3,0
RB Leipzig,Borussia M.Gladbach,3,2
Union Berlin,Hoffenheim,1,1
Mainz 05,Augsburg,0,1
Bayer Leverkusen,Freiburg,1,2
Bayern Munich,Arminia Bielefeld,3,3
Arminia Bielefeld,Wolfsburg,0,3
Borussia M.Gladbach,Mainz 05,1,2
Freiburg,Union Berlin,0,1
Eintracht Frankfurt,Bayern Munich,2,1
FC Koln,VfB Stuttgart,0,1
Schalke 04,Borussia Dortmund,0,4
Augsburg,Bayer Leverkusen,1,1
Hertha Berlin,RB Leipzig,0,3
Hoffenheim,Werder Bremen,4,0
RB Leipzig,Augsburg,2,1
Bayer Leverkusen,Mainz 05,2,2
Borussia Dortmund,Hoffenheim,2,2
Werder Bremen,Freiburg,0,0
VfB Stuttgart,Hertha Berlin,1,1
Union Berlin,Schalke 04,0,0
Eintracht Frankfurt,FC Koln,2,0
Wolfsburg,Borussia M.Gladbach,0,0
Hertha Berlin,Bayern Munich,0,1
Schalke 04,RB Leipzig,0,3
Mainz 05,Union Berlin,1,0
Augsburg,Wolfsburg,0,2
Bayer Leverkusen,VfB Stuttgart,5,2
Freiburg,Borussia Dortmund,2,1
Borussia M.Gladbach,FC Koln,1,2
Hoffenheim,Eintracht Frankfurt,1,3
VfB Stuttgart,Mainz 05,2,0
Werder Bremen,Schalke 04,1,1
Eintracht Frankfurt,Hertha Berlin,3,1
Union Berlin,Borussia M.Gladbach,1,1
Bayern Munich,Hoffenheim,4,1
Borussia Dortmund,Augsburg,3,1
RB Leipzig,Bayer Leverkusen,1,0
FC Koln,Arminia Bielefeld,3,1
Wolfsburg,Freiburg,3,0
Borussia M.Gladbach,Werder Bremen,1,0
Bayer Leverkusen,Borussia Dortmund,2,1
Mainz 05,Wolfsburg,0,2
Hertha Berlin,Hoffenheim,0,3
Schalke 04,FC Koln,1,2
Augsburg,Bayern Munich,0,1
Arminia Bielefeld,VfB Stuttgart,3,0
Freiburg,Eintracht Frankfurt,2,2
RB Leipzig,Union Berlin,1,0
Borussia M.Gladbach,Borussia Dortmund,4,2
Bayer Leverkusen,Wolfsburg,0,1
Freiburg,VfB Stuttgart,2,1
Mainz 05,RB Leipzig,3,2
Augsburg,Union Berlin,2,1
Arminia Bielefeld,Eintracht Frankfurt,1,5
Hertha Berlin,Werder Bremen,1,4
Schalke 04,Bayern Munich,0,4
Hoffenheim,FC Koln,3,0
Union Berlin,Bayer Leverkusen,1,0
FC Koln,Hertha Berlin,0,0
Werder Bremen,Augsburg,2,0
Borussia Dortmund,Mainz 05,1,1
Hoffenheim,Arminia Bielefeld,0,0
Wolfsburg,RB Leipzig,2,2
VfB Stuttgart,Borussia M.Gladbach,2,2
Bayern Munich,Freiburg,2,1
Eintracht Frankfurt,Schalke 04,3,1
Borussia M.Gladbach,Bayern Munich,3,2
Bayer Leverkusen,Werder Bremen,1,1
Freiburg,FC Koln,5,0
Union Berlin,Wolfsburg,2,2
Schalke 04,Hoffenheim,4,0
Mainz 05,Eintracht Frankfurt,0,2
RB Leipzig,Borussia Dortmund,1,3
Augsburg,VfB Stuttgart,1,4
Arminia Bielefeld,Hertha Berlin,1,0
Hoffenheim,Freiburg,1,3
Eintracht Frankfurt,Bayer Leverkusen,2,1
FC Koln,Augsburg,0,1
Werder Bremen,Union Berlin,0,2
Arminia Bielefeld,Borussia M.Gladbach,0,1
Hertha Berlin,Schalke 04,3,0
VfB Stuttgart,RB Leipzig,0,1
Borussia Dortmund,Wolfsburg,2,0
Bayern Munich,Mainz 05,5,2
Eintracht Frankfurt,Borussia M.Gladbach,3,3
VfB Stuttgart,Union Berlin,2,2
Werder Bremen,Borussia Dortmund,1,2
Hertha Berlin,Mainz 05,0,0
Schalke 04,Freiburg,0,2
FC Koln,Bayer Leverkusen,0,4
Arminia Bielefeld,Augsburg,0,1
Bayern Munich,Wolfsburg,2,1
Hoffenheim,RB Leipzig,0,1
Union Berlin,Borussia Dortmund,2,1
Schalke 04,Arminia Bielefeld,0,1
Mainz 05,Werder Bremen,0,1
Augsburg,Eintracht Frankfurt,0,2
RB Leipzig,FC Koln,0,0
Borussia M.Gladbach,Hoffenheim,1,2
Bayer Leverkusen,Bayern Munich,1,2
Freiburg,Hertha Berlin,4,1
Wolfsburg,VfB Stuttgart,1,0
Hoffenheim,Augsburg,3,1
Wolfsburg,Eintracht Frankfurt,2,1
Freiburg,Arminia Bielefeld,2,0
Borussia Dortmund,VfB Stuttgart,1,5
RB Leipzig,Werder Bremen,2,0
Borussia M.Gladbach,Hertha Berlin,1,1
Mainz 05,FC Koln,0,1
Union Berlin,Bayern Munich,1,1
Augsburg,Schalke 04,2,2
Bayer Leverkusen,Hoffenheim,4,1
Hertha Berlin,Union Berlin,3,1
FC Koln,Wolfsburg,2,2
Freiburg,Borussia M.Gladbach,2,2
Eintracht Frankfurt,Borussia Dortmund,1,1
Arminia Bielefeld,Mainz 05,2,1
Bayern Munich,RB Leipzig,3,3
Werder Bremen,VfB Stuttgart,1,2
Schalke 04,Bayer Leverkusen,0,3
Wolfsburg,Werder Bremen,5,3
Union Berlin,Eintracht Frankfurt,3,3
Augsburg,Freiburg,1,1
VfB Stuttgart,Bayern Munich,1,3
Borussia Dortmund,FC Koln,1,2
RB Leipzig,Arminia Bielefeld,2,1
Borussia M.Gladbach,Schalke 04,4,1
Bayer Leverkusen,Hertha Berlin,0,0
Mainz 05,Hoffenheim,1,1
Bayern Munich,Werder Bremen,1,1
Borussia M.Gladbach,Augsburg,1,1
Hoffenheim,VfB Stuttgart,3,3
Schalke 04,Wolfsburg,0,2
Arminia Bielefeld,Bayer Leverkusen,1,2
Eintracht Frankfurt,RB Leipzig,1,1
Hertha Berlin,Borussia Dortmund,2,5
Freiburg,Mainz 05,1,3
FC Koln,Union Berlin,1,2
Hoffenheim,Union Berlin,1,3
Werder Bremen,FC Koln,1,1
VfB Stuttgart,Eintracht Frankfurt,2,2
Union Berlin,Arminia Bielefeld,5,0
Mainz 05,Schalke 04,2,2
Augsburg,Hertha Berlin,0,3
RB Leipzig,Freiburg,3,0
Borussia Dortmund,Bayern Munich,2,3
Wolfsburg,Hoffenheim,2,1
Bayer Leverkusen,Borussia M.Gladbach,4,3
Bayer Leverkusen,Augsburg,3,1
Schalke 04,VfB Stuttgart,1,1
FC Koln,Bayern Munich,1,2
Augsburg,Mainz 05,3,1
Arminia Bielefeld,Borussia Dortmund,0,2
Eintracht Frankfurt,Werder Bremen,1,1
Borussia M.Gladbach,RB Leipzig,1,0
Freiburg,Bayer Leverkusen,2,4
Hertha Berlin,Wolfsburg,1,1
VfB Stuttgart,FC Koln,1,1
Union Berlin,Freiburg,1,1
Mainz 05,Borussia M.Gladbach,2,3
Bayern Munich,Eintracht Frankfurt,5,0
RB Leipzig,Hertha Berlin,2,1
Borussia Dortmund,Schalke 04,3,0
Wolfsburg,Arminia Bielefeld,2,1
Werder Bremen,Hoffenheim,1,1
Hoffenheim,Borussia Dortmund,0,1
Freiburg,Werder Bremen,1,1
Hertha Berlin,VfB Stuttgart,0,2
Mainz 05,Bayer Leverkusen,0,1
Augsburg,RB Leipzig,0,2
Arminia Bielefeld,Bayern Munich,1,4
Borussia M.Gladbach,Wolfsburg,1,1
FC Koln,Eintracht Frankfurt,1,1
Schalke 04,Union Berlin,1,1
Union Berlin,Mainz 05,4,0
FC Koln,Borussia M.Gladbach,1,3
Werder Bremen,Arminia Bielefeld,1,0
VfB Stuttgart,Bayer Leverkusen,1,1
Borussia Dortmund,Freiburg,4,0
Eintracht Frankfurt,Hoffenheim,2,1
RB Leipzig,Schalke 04,4,0
Wolfsburg,Augsburg,0,0
Bayern Munich,Hertha Berlin,4,3
Hertha Berlin,Eintracht Frankfurt,1,3
Mainz 05,VfB Stuttgart,1,4
Augsburg,Borussia Dortmund,2,0
Arminia Bielefeld,FC Koln,1,0
Borussia M.Gladbach,Union Berlin,1,1
Bayer Leverkusen,RB Leipzig,1,1
Schalke 04,Werder Bremen,1,3
Hoffenheim,Bayern Munich,4,1
Freiburg,Wolfsburg,1,1
