name,team,min,goal,assist,shot,pass,aer,mom,rating
Fabian Bredlow,Stuttgart,90,0,0,0.0,0.758,1.0,0,8.44
Robert Lewandowski,Bayern,2463,41,7,4.7,0.772,1.7,11,8.07
Erling Haaland,Borussia Dortmund,2410,27,6,3.3,0.727,1.3,8,7.63
Joshua Kimmich,Bayern,2197,4,10,1.4,0.883,0.7,1,7.57
Jadon Sancho,Borussia Dortmund,2069,8,11,2.0,0.8240000000000001,0.1,4,7.54
André Silva,Eintracht Frankfurt,2771,28,5,3.7,0.7340000000000001,2.3,8,7.51
Thomas Müller,Bayern,2683,11,18,1.6,0.75,1.6,3,7.51
Matheus Cunha,Hertha Berlin,2156,7,4,2.6,0.7090000000000001,0.7,5,7.33
Wout Weghorst,Wolfsburg,2950,20,8,2.7,0.6609999999999999,2.8,6,7.31
Maximilian Arnold,Wolfsburg,2591,3,6,1.8,0.8440000000000001,1.4,5,7.3
Fabian Bredlow,Stuttgart,90,0,0,0.0,0.758,1.0,0,8.44
Robert Lewandowski,Bayern,2463,41,7,4.7,0.772,1.7,11,8.07
Erling Haaland,Borussia Dortmund,2410,27,6,3.3,0.727,1.3,8,7.63
Joshua Kimmich,Bayern,2197,4,10,1.4,0.883,0.7,1,7.57
Jadon Sancho,Borussia Dortmund,2069,8,11,2.0,0.8240000000000001,0.1,4,7.54
André Silva,Eintracht Frankfurt,2771,28,5,3.7,0.7340000000000001,2.3,8,7.51
Thomas Müller,Bayern,2683,11,18,1.6,0.75,1.6,3,7.51
Matheus Cunha,Hertha Berlin,2156,7,4,2.6,0.7090000000000001,0.7,5,7.33
Wout Weghorst,Wolfsburg,2950,20,8,2.7,0.6609999999999999,2.8,6,7.31
Maximilian Arnold,Wolfsburg,2591,3,6,1.8,0.8440000000000001,1.4,5,7.3
Elias Bördner,Eintracht Frankfurt,90,0,0,0.0,0.588,0.0,0,7.3
Filip Kostic,Eintracht Frankfurt,2536,4,14,1.7,0.6990000000000001,0.5,6,7.29
Christopher Nkunku,RBL,1895,6,6,2.0,0.843,1.0,3,7.26
Mats Hummels,Borussia Dortmund,2817,5,0,0.9,0.8759999999999999,3.9,2,7.26
Leon Bailey,Leverkusen,2148,9,8,1.9,0.7809999999999999,0.6,4,7.26
Raphaël Guerreiro,Borussia Dortmund,2224,5,10,1.4,0.8690000000000001,0.2,3,7.24
Andrej Kramaric,Hoffenheim,2386,20,5,3.4,0.8220000000000001,0.3,8,7.23
Ermin Bicakcic,Hoffenheim,129,1,0,1.0,0.8690000000000001,3.5,0,7.2
Leon Goretzka,Bayern,1707,5,5,1.8,0.877,1.3,3,7.2
Serge Gnabry,Bayern,1654,10,2,2.2,0.835,0.3,1,7.18
Willi Orbán,RBL,2361,4,1,0.8,0.875,3.9,2,7.17
Silas Katompa Mvumpa,Stuttgart,1931,11,4,1.8,0.708,0.6,3,7.13
