home,away,home_score,away_score
Sampdoria,Fiorentina,4,1
Juventus,Lazio,2,2
Torino,Roma,0,3
Genoa,Bologna,0,1
Atalanta,Empoli,0,1
Fiorentina,Juventus,2,0
Lazio,Verona,3,3
Spezia,Napoli,0,3
Sassuolo,AC Milan,0,3
Inter,Sampdoria,3,0
Salernitana,Udinese,0,4
Venezia,Cagliari,0,0
Sampdoria,Fiorentina,4,1
Juventus,Lazio,2,2
Torino,Roma,0,3
Genoa,Bologna,0,1
Atalanta,Empoli,0,1
Fiorentina,Juventus,2,0
Lazio,Verona,3,3
Spezia,Napoli,0,3
Sassuolo,AC Milan,0,3
Inter,Sampdoria,3,0
Salernitana,Udinese,0,4
Venezia,Cagliari,0,0
Fiorentina,Roma,2,0
Empoli,Salernitana,1,1
Verona,Torino,0,1
Udinese,Spezia,2,3
Roma,Venezia,1,1
Bologna,Sassuolo,1,3
Napoli,Genoa,3,0
AC Milan,Atalanta,2,0
Cagliari,Inter,1,3
Atalanta,Salernitana,1,1
Salernitana,Venezia,2,1
Inter,Empoli,4,2
Genoa,Juventus,2,1
Torino,Napoli,0,1
Sassuolo,Udinese,1,1
Lazio,Sampdoria,2,0
Spezia,Atalanta,1,3
Venezia,Bologna,4,3
Salernitana,Cagliari,1,1
Verona,AC Milan,1,3
Sassuolo,Juventus,1,2
Fiorentina,Udinese,0,4
Atalanta,Torino,4,4
Bologna,Inter,2,1
Cagliari,Verona,1,2
Napoli,Sassuolo,6,1
Sampdoria,Genoa,1,0
Spezia,Lazio,3,4
Juventus,Venezia,2,1
AC Milan,Fiorentina,1,0
Empoli,Torino,1,3
Udinese,Inter,1,2
Roma,Bologna,0,0
Napoli,Roma,1,1
Atalanta,Verona,1,2
Udinese,Salernitana,0,1
Torino,Spezia,2,1
Venezia,Atalanta,1,3
Inter,Roma,3,1
Verona,Sampdoria,1,1
Salernitana,Fiorentina,2,1
Bologna,Udinese,2,2
Empoli,Napoli,3,2
Genoa,Cagliari,1,0
Lazio,AC Milan,1,2
Bologna,Sampdoria,2,0
Spezia,Inter,1,3
AC Milan,Genoa,2,0
Cagliari,Sassuolo,1,0
Sampdoria,Salernitana,1,2
Udinese,Empoli,4,1
Fiorentina,Venezia,1,0
Juventus,Bologna,1,1
Lazio,Torino,1,1
Verona,Genoa,1,0
AC Milan,Bologna,0,0
Empoli,Spezia,0,0
Inter,Verona,2,0
Cagliari,Juventus,1,2
Genoa,Lazio,1,4
Napoli,Fiorentina,2,3
Sassuolo,Atalanta,2,1
Venezia,Udinese,1,2
Roma,Salernitana,2,1
Torino,AC Milan,0,0
Spezia,Venezia,1,0
Lazio,Sassuolo,2,1
Salernitana,Torino,0,1
Fiorentina,Empoli,1,0
Udinese,Cagliari,5,1
Atalanta,Napoli,1,3
Sampdoria,Roma,0,1
Juventus,Inter,0,1
Lazio,Venezia,1,0
Sassuolo,Spezia,4,1
Genoa,Torino,1,0
Napoli,Udinese,2,1
Inter,Fiorentina,1,1
Cagliari,AC Milan,0,1
Venezia,Sampdoria,0,2
Empoli,Verona,1,1
Juventus,Salernitana,2,0
Roma,Lazio,3,0
Bologna,Atalanta,0,1
Salernitana,Sassuolo,2,2
Spezia,Cagliari,2,0
Sampdoria,Juventus,1,3
AC Milan,Empoli,1,0
Fiorentina,Bologna,1,0
Verona,Napoli,1,2
Atalanta,Genoa,0,0
Udinese,Roma,1,1
Torino,Inter,1,1
Atalanta,Sampdoria,4,0
Inter,Salernitana,5,0
Udinese,Sampdoria,2,1
Roma,Atalanta,1,0
Cagliari,Lazio,0,3
Genoa,Empoli,0,0
Fiorentina,Verona,1,1
Bologna,Torino,0,0
Venezia,Sassuolo,1,4
Juventus,Spezia,1,0
Napoli,AC Milan,0,1
Cagliari,Napoli,1,1
Bologna,Spezia,2,1
AC Milan,Udinese,1,1
Genoa,Inter,0,0
Salernitana,Bologna,1,1
Empoli,Juventus,2,3
Sassuolo,Fiorentina,2,1
Torino,Cagliari,1,2
Verona,Venezia,3,1
Spezia,Roma,0,1
Lazio,Napoli,1,2
Spezia,Fiorentina,1,2
Juventus,Torino,1,1
Sampdoria,Empoli,2,0
Roma,Verona,2,2
Salernitana,AC Milan,2,2
Fiorentina,Atalanta,1,0
Venezia,Genoa,1,1
Inter,Sassuolo,0,2
Udinese,Lazio,1,1
Salernitana,Spezia,2,2
Lazio,Bologna,3,0
Napoli,Inter,1,1
Torino,Venezia,1,2
AC Milan,Sampdoria,1,0
Empoli,Cagliari,1,1
Genoa,Salernitana,1,1
Verona,Udinese,4,0
Sassuolo,Roma,2,2
Atalanta,Juventus,1,1
Roma,Genoa,0,0
Inter,AC Milan,1,2
Fiorentina,Lazio,0,3
Atalanta,Cagliari,1,2
Bologna,Empoli,0,0
Venezia,Napoli,0,2
Sampdoria,Sassuolo,4,0
Udinese,Torino,2,0
Juventus,Verona,2,0
Bologna,Napoli,0,2
AC Milan,Spezia,1,2
Fiorentina,Genoa,6,0
Verona,Bologna,2,1
Genoa,Udinese,0,0
Inter,Venezia,2,1
Lazio,Atalanta,0,0
Cagliari,Fiorentina,1,1
Napoli,Salernitana,4,1
Spezia,Sampdoria,1,0
Torino,Sassuolo,1,1
Empoli,Roma,2,4
AC Milan,Juventus,0,0
Torino,Fiorentina,4,0
Cagliari,Bologna,2,1
Sampdoria,Torino,1,2
Salernitana,Lazio,0,3
Juventus,Udinese,2,0
Sassuolo,Verona,2,4
Venezia,Empoli,1,1
Roma,Cagliari,1,0
Atalanta,Inter,0,0
Sampdoria,Cagliari,1,2
Lazio,Empoli,3,3
Spezia,Verona,1,2
Sassuolo,Genoa,1,1
AC Milan,Roma,3,1
Juventus,Napoli,1,1
Venezia,AC Milan,0,3
Empoli,Sassuolo,1,5
Udinese,Atalanta,2,6
Napoli,Sampdoria,1,0
Roma,Juventus,3,4
Genoa,Spezia,0,1
Verona,Salernitana,1,2
Inter,Lazio,2,1
Genoa,Atalanta,0,0
Juventus,Cagliari,2,0
Sassuolo,Bologna,0,3
Venezia,Lazio,1,3
Roma,Sampdoria,1,1
Verona,Fiorentina,1,1
Inter,Torino,1,0
Napoli,Spezia,0,1
Empoli,AC Milan,2,4
Roma,Spezia,2,0
Lazio,Genoa,3,1
Salernitana,Inter,0,5
Atalanta,Roma,1,4
Bologna,Juventus,0,2
Cagliari,Udinese,0,4
Fiorentina,Sassuolo,2,2
Spezia,Empoli,1,1
Torino,Verona,1,0
Sampdoria,Venezia,1,1
AC Milan,Napoli,0,1
Empoli,Udinese,3,1
Cagliari,Torino,1,1
Genoa,Sampdoria,1,3
Fiorentina,Salernitana,4,0
Venezia,Juventus,1,1
Udinese,AC Milan,1,1
Torino,Bologna,2,1
Verona,Atalanta,1,2
Napoli,Empoli,0,1
Sassuolo,Lazio,2,1
Inter,Cagliari,4,0
Atalanta,Venezia,4,0
Fiorentina,Sampdoria,3,1
Verona,Cagliari,0,0
Salernitana,Juventus,0,2
Inter,Spezia,2,0
Bologna,Roma,1,0
Genoa,AC Milan,0,3
Sassuolo,Napoli,2,2
Torino,Empoli,2,2
Lazio,Udinese,4,4
AC Milan,Salernitana,2,0
Roma,Inter,0,3
Napoli,Atalanta,2,3
Bologna,Fiorentina,2,3
Spezia,Sassuolo,2,2
Venezia,Verona,3,4
Sampdoria,Lazio,1,3
Juventus,Genoa,2,0
Verona,Empoli,2,1
Torino,Udinese,2,1
Cagliari,Salernitana,1,1
Empoli,Fiorentina,2,1
Sampdoria,Verona,3,1
Juventus,Atalanta,0,1
Venezia,Inter,0,2
Udinese,Genoa,0,0
Spezia,Bologna,0,1
AC Milan,Sassuolo,1,3
Roma,Torino,1,0
Napoli,Lazio,4,0
Atalanta,Spezia,5,2
Lazio,Juventus,0,2
Fiorentina,AC Milan,4,3
Sassuolo,Cagliari,2,2
Salernitana,Sampdoria,0,2
Bologna,Venezia,0,1
Inter,Napoli,3,2
Genoa,Roma,0,2
Bologna,Cagliari,2,0
Empoli,Genoa,2,2
Spezia,Torino,1,0
Juventus,Fiorentina,1,0
Cagliari,Atalanta,1,2
Venezia,Roma,3,2
Udinese,Sassuolo,3,2
Sampdoria,Bologna,1,2
Napoli,Verona,1,1
Lazio,Salernitana,3,0
AC Milan,Inter,1,1
Venezia,Salernitana,1,2
Spezia,Genoa,1,1
AC Milan,Torino,1,0
Juventus,Sassuolo,1,2
Udinese,Verona,1,1
Sampdoria,Atalanta,1,3
Lazio,Fiorentina,1,0
Cagliari,Roma,1,2
Empoli,Inter,0,2
Napoli,Bologna,3,0
Atalanta,Lazio,2,2
Verona,Juventus,2,1
Torino,Sampdoria,3,0
Inter,Udinese,2,0
Fiorentina,Spezia,3,0
Genoa,Venezia,0,0
Sassuolo,Empoli,1,2
Salernitana,Napoli,0,1
Roma,AC Milan,1,2
Venezia,Fiorentina,1,0
Torino,Genoa,3,2
Sampdoria,Spezia,2,1
Salernitana,Empoli,2,4
Sassuolo,Venezia,3,1
Bologna,AC Milan,2,4
Atalanta,Udinese,1,1
Fiorentina,Cagliari,3,0
Verona,Lazio,4,1
Roma,Napoli,0,0
Inter,Juventus,1,1
Spezia,Salernitana,2,1
Lazio,Inter,3,1
AC Milan,Verona,3,2
Cagliari,Sampdoria,3,1
Empoli,Atalanta,1,4
Genoa,Sassuolo,2,2
Udinese,Bologna,1,1
Napoli,Torino,1,0
Juventus,Roma,1,0
Venezia,Torino,1,1
Cagliari,Venezia,1,1
Salernitana,Genoa,1,0
Torino,Juventus,0,1
Sassuolo,Inter,1,2
Bologna,Lazio,3,0
Sampdoria,Udinese,3,3
Verona,Spezia,4,0
Roma,Empoli,2,0
Fiorentina,Napoli,1,2
Atalanta,AC Milan,2,3
Udinese,Napoli,0,4
Bologna,Genoa,2,2
Atalanta,Sassuolo,2,1
Fiorentina,Inter,1,3
Salernitana,Verona,2,2
Spezia,Juventus,2,3
AC Milan,Venezia,2,0
Cagliari,Empoli,0,2
Sampdoria,Napoli,0,4
Torino,Lazio,1,1
Roma,Udinese,1,0
Spezia,AC Milan,1,2
Inter,Atalanta,2,2
Genoa,Verona,3,3
Juventus,Sampdoria,3,2
Empoli,Bologna,4,2
Sassuolo,Salernitana,1,0
Udinese,Fiorentina,0,1
Lazio,Roma,3,2
Napoli,Cagliari,2,0
Bologna,Verona,1,0
Sassuolo,Torino,0,1
Genoa,Fiorentina,1,2
Inter,Bologna,6,1
Salernitana,Atalanta,0,1
Empoli,Sampdoria,0,3
Venezia,Spezia,1,2
Lazio,Cagliari,2,2
Verona,Roma,3,2
Juventus,AC Milan,1,1
Empoli,Venezia,1,2
Napoli,Juventus,2,1
Atalanta,Fiorentina,1,2
Sampdoria,Inter,2,2
Spezia,Udinese,0,1
