name,team,min,goal,assist,shot,pass,aer,mom,rating
Domenico Berardi,Sassuolo,2838,15,14,3.3,0.748,0.5,8,7.43
Rafael Leão,AC Milan,2621,11,8,2.9,0.748,0.8,2,7.37
Sergej Milinkovic Savic,Lazio,3111,11,11,2.0,0.8140000000000001,2.8,7,7.36
Lorenzo Pellegrini,Roma,2300,9,5,3.3,0.777,0.6,6,7.34
Dusan Vlahovic,Fiorentina,1862,17,2,3.6,0.706,2.0,5,7.33
Ciro Immobile,Lazio,2718,27,2,3.8,0.78,0.7,2,7.31
Luis Muriel,Atalanta,1543,9,8,2.1,0.7559999999999999,1.1,4,7.3
Hakan Çalhanoglu,Inter,2509,7,12,1.9,0.868,0.3,5,7.28
Victor Osimhen,Napoli,1993,14,2,3.4,0.705,1.9,4,7.22
Ivan Perisic,Inter,2844,8,7,1.3,0.763,1.6,5,7.22
Mattia Zaccagni,Verona,180,2,0,2.0,0.833,2.0,1,8.47
Luca Gemello,Torino,90,0,0,0.0,0.39399999999999996,0.0,0,7.71
Domenico Berardi,Sassuolo,2838,15,14,3.3,0.748,0.5,8,7.43
Rafael Leão,AC Milan,2621,11,8,2.9,0.748,0.8,2,7.37
Sergej Milinkovic Savic,Lazio,3111,11,11,2.0,0.8140000000000001,2.8,7,7.36
Lorenzo Pellegrini,Roma,2300,9,5,3.3,0.777,0.6,6,7.34
Dusan Vlahovic,Fiorentina,1862,17,2,3.6,0.706,2.0,5,7.33
Ciro Immobile,Lazio,2718,27,2,3.8,0.78,0.7,2,7.31
Luis Muriel,Atalanta,1543,9,8,2.1,0.7559999999999999,1.1,4,7.3
Hakan Çalhanoglu,Inter,2509,7,12,1.9,0.868,0.3,5,7.28
Wisdom Amey,Bologna,72,0,0,0.0,0.69,3.0,0,7.27
Victor Osimhen,Napoli,1993,14,2,3.4,0.705,1.9,4,7.22
Ivan Perisic,Inter,2844,8,7,1.3,0.763,1.6,5,7.22
Paulo Dybala,Juventus,2074,10,5,3.4,0.843,0.3,5,7.22
Bremer,Torino,2895,3,1,0.8,0.816,4.0,4,7.22
Gianluca Caprari,Verona,2755,12,7,1.9,0.805,0.2,6,7.2
Juan Cuadrado,Juventus,2496,4,4,1.1,0.887,0.6,5,7.19
Lautaro Martínez,Inter,2302,21,3,3.4,0.747,0.8,4,7.18
Tammy Abraham,Roma,3099,17,4,2.6,0.71,2.1,4,7.17
Theo Hernández,AC Milan,2713,5,6,1.3,0.838,0.8,4,7.16
Marcelo Brozovic,Inter,2951,2,1,0.9,0.925,0.4,2,7.13
Nicolò Barella,Inter,2933,3,12,1.9,0.851,0.6,2,7.13
Fabián Ruiz,Napoli,2398,7,4,1.3,0.905,0.3,3,7.1
Lorenzo Insigne,Napoli,2311,11,9,2.9,0.8370000000000001,0.2,5,7.09
Wladimiro Falcone,Sampdoria,855,0,0,0.0,0.693,0.4,2,7.08
Kalidou Koulibaly,Napoli,2406,3,3,0.4,0.8690000000000001,1.8,1,7.08
Edin Dzeko,Inter,2476,13,5,2.4,0.727,2.3,0,7.07
Duván Zapata,Atalanta,1732,10,4,3.4,0.767,1.9,2,7.06
André Frank Zambo Anguissa,Napoli,1925,0,2,0.8,0.899,1.2,1,7.05
Giovanni Di Lorenzo,Napoli,2873,1,5,0.6,0.882,1.4,2,7.04
Gerard Deulofeu,Udinese,2628,13,5,2.3,0.787,0.1,3,7.04
Sandro Tonali,AC Milan,2608,5,2,1.0,0.855,0.3,4,7.02
Felipe Anderson,Lazio,2900,6,8,1.2,0.8140000000000001,0.3,3,7.02
Nicolás González,Fiorentina,2361,7,6,2.2,0.779,2.0,8,7.02
Mattia Zaccagni,Lazio,1881,4,5,1.1,0.846,0.4,3,7.01
Abdelhamid Sabiri,Sampdoria,895,3,2,1.1,0.7759999999999999,1.9,3,7.0
José Luis Palomino,Atalanta,2674,1,0,0.4,0.813,3.1,2,7.0
Henrikh Mkhitaryan,Roma,2505,5,6,1.8,0.8490000000000001,0.5,2,6.99
Olivier Giroud,AC Milan,1905,11,3,2.2,0.6759999999999999,3.2,4,6.99
Fikayo Tomori,AC Milan,2719,0,0,0.4,0.879,1.6,0,6.98
Mário Rui,Napoli,3002,0,6,0.9,0.861,0.4,1,6.98
Milan Djuric,Salernitana,2173,5,3,1.5,0.602,7.4,3,6.97
Luis Alberto,Lazio,2363,5,10,1.4,0.877,0.2,2,6.96
Francesco Bardi,Bologna,178,0,0,0.0,0.643,0.5,0,6.96
Federico Chiesa,Juventus,868,2,2,2.0,0.7909999999999999,0.0,3,6.94
Bryan Cristante,Roma,2674,2,0,1.2,0.8220000000000001,2.6,1,6.94
Antonio Candreva,Sampdoria,3132,7,10,2.1,0.762,0.1,4,6.94
Franck Kessié,AC Milan,2312,6,0,1.1,0.885,1.0,2,6.94
Danilo,Juventus,1895,1,1,0.6,0.863,1.7,0,6.93
Sergio Romero,Venezia,1440,0,0,0.0,0.654,0.4,2,6.93
Mike Maignan,AC Milan,2880,0,1,0.0,0.758,0.2,1,6.92
Robin Gosens,Atalanta,462,1,0,2.5,0.8109999999999999,2.0,0,6.92
Antonín Barák,Verona,2348,11,4,1.8,0.805,1.4,1,6.91
Ruslan Malinovskyi,Atalanta,1603,6,4,1.9,0.77,0.6,3,6.91
Luca Lezzerini,Venezia,496,0,0,0.0,0.725,0.0,1,6.9
Simone Verdi,Salernitana,838,5,0,2.4,0.775,0.3,1,6.9
Alessandro Bastoni,Inter,2323,1,3,0.3,0.8959999999999999,1.4,1,6.9
Pedro,Lazio,2043,9,5,1.1,0.867,0.1,2,6.89
Hamed Traorè,Sassuolo,1780,7,2,1.6,0.821,0.1,2,6.89
Giovanni Simeone,Verona,2669,17,5,2.0,0.7040000000000001,1.7,5,6.89
Davide Calabria,AC Milan,2124,2,3,1.4,0.763,0.4,0,6.89
