home,away,home_score,away_score
Deportivo Alaves,Getafe,0,0
Villarreal,Real Sociedad,1,2
Granada,Real Madrid,1,2
Eibar,Real Valladolid,3,1
Getafe,Atletico Madrid,0,2
Mallorca,Granada,1,2
Real Madrid,Villarreal,2,1
Real Sociedad,Sevilla,0,0
Valencia,Espanyol,1,0
Athletic Bilbao,Leganes,0,2
Barcelona,Osasuna,1,2
Real Betis,Deportivo Alaves,1,2
Celta Vigo,Levante,2,3
Deportivo Alaves,Barcelona,0,5
Villarreal,Eibar,4,0
Real Valladolid,Real Betis,2,0
Osasuna,Mallorca,2,2
Sevilla,Valencia,1,0
Leganes,Real Madrid,2,2
Levante,Getafe,1,0
Atletico Madrid,Real Sociedad,1,1
Espanyol,Celta Vigo,0,0
Granada,Athletic Bilbao,4,0
Deportivo Alaves,Getafe,0,0
Villarreal,Real Sociedad,1,2
Granada,Real Madrid,1,2
Eibar,Real Valladolid,3,1
Getafe,Atletico Madrid,0,2
Mallorca,Granada,1,2
Real Madrid,Villarreal,2,1
Real Sociedad,Sevilla,0,0
Valencia,Espanyol,1,0
Athletic Bilbao,Leganes,0,2
Barcelona,Osasuna,1,2
Real Betis,Deportivo Alaves,1,2
Celta Vigo,Levante,2,3
Deportivo Alaves,Barcelona,0,5
Villarreal,Eibar,4,0
Real Valladolid,Real Betis,2,0
Osasuna,Mallorca,2,2
Sevilla,Valencia,1,0
Leganes,Real Madrid,2,2
Levante,Getafe,1,0
Atletico Madrid,Real Sociedad,1,1
Espanyol,Celta Vigo,0,0
Granada,Athletic Bilbao,4,0
Levante,Real Sociedad,1,1
Sevilla,Eibar,1,0
Valencia,Real Valladolid,2,1
Celta Vigo,Atletico Madrid,1,1
Real Betis,Osasuna,3,0
Getafe,Villarreal,1,3
Barcelona,Espanyol,1,0
Mallorca,Levante,2,0
Eibar,Leganes,0,0
Athletic Bilbao,Sevilla,1,2
Real Sociedad,Granada,2,3
Real Madrid,Deportivo Alaves,2,0
Osasuna,Celta Vigo,2,1
Real Valladolid,Barcelona,0,1
Atletico Madrid,Real Betis,1,0
Espanyol,Eibar,0,2
Levante,Athletic Bilbao,1,2
Leganes,Valencia,1,0
Sevilla,Mallorca,2,0
Getafe,Real Sociedad,2,1
Mallorca,Celta Vigo,5,1
Leganes,Sevilla,0,3
Barcelona,Atletico Madrid,2,2
Valencia,Athletic Bilbao,0,2
Deportivo Alaves,Granada,0,2
Real Valladolid,Levante,0,0
Real Betis,Villarreal,0,2
Eibar,Osasuna,0,2
Real Sociedad,Espanyol,2,1
Real Madrid,Getafe,1,0
Atletico Madrid,Mallorca,3,0
Celta Vigo,Real Betis,1,1
Real Valladolid,Deportivo Alaves,1,0
Granada,Valencia,2,2
Athletic Bilbao,Real Madrid,0,1
Espanyol,Leganes,0,1
Osasuna,Getafe,0,0
Villarreal,Barcelona,1,4
Villarreal,Sevilla,2,2
Leganes,Granada,0,0
Levante,Atletico Madrid,0,1
Real Valladolid,Getafe,1,1
Barcelona,Athletic Bilbao,1,0
Deportivo Alaves,Osasuna,0,1
Real Sociedad,Celta Vigo,0,1
Real Madrid,Mallorca,2,0
Eibar,Valencia,1,0
Real Betis,Espanyol,1,0
Sevilla,Real Valladolid,1,1
Athletic Bilbao,Mallorca,3,1
Celta Vigo,Barcelona,2,2
Osasuna,Leganes,2,1
Atletico Madrid,Deportivo Alaves,2,1
Levante,Real Betis,4,2
Villarreal,Valencia,2,0
Granada,Eibar,1,2
Espanyol,Real Madrid,0,1
Levante,Sevilla,1,1
Real Betis,Granada,2,2
Getafe,Espanyol,0,0
Villarreal,Mallorca,1,0
Barcelona,Leganes,2,0
Eibar,Athletic Bilbao,2,2
Real Valladolid,Celta Vigo,0,0
Osasuna,Atletico Madrid,0,5
Deportivo Alaves,Real Sociedad,2,0
Real Madrid,Valencia,3,0
Granada,Villarreal,0,1
Mallorca,Leganes,1,1
Sevilla,Barcelona,0,0
Espanyol,Levante,1,3
Athletic Bilbao,Real Betis,1,0
Getafe,Eibar,1,1
Atletico Madrid,Real Valladolid,1,0
Celta Vigo,Deportivo Alaves,6,0
Valencia,Osasuna,2,0
Real Sociedad,Real Madrid,1,2
Sevilla,Real Betis,2,0
Granada,Getafe,2,1
Valencia,Levante,1,1
Espanyol,Deportivo Alaves,2,0
Celta Vigo,Villarreal,0,1
Leganes,Real Valladolid,1,2
Mallorca,Barcelona,0,4
Athletic Bilbao,Atletico Madrid,1,1
Real Madrid,Eibar,3,1
Real Sociedad,Osasuna,1,1
Eibar,Real Sociedad,1,2
Deportivo Alaves,Valencia,1,1
Eibar,Mallorca,1,2
Atletico Madrid,Sevilla,2,2
Barcelona,Real Sociedad,1,0
Getafe,Celta Vigo,0,0
Osasuna,Espanyol,1,0
Real Valladolid,Athletic Bilbao,1,4
Levante,Granada,1,1
Villarreal,Leganes,1,2
Real Betis,Real Madrid,2,1
Real Sociedad,Real Valladolid,1,0
Eibar,Levante,3,0
Valencia,Real Betis,2,1
Leganes,Deportivo Alaves,1,1
Granada,Celta Vigo,0,0
Sevilla,Osasuna,3,2
Athletic Bilbao,Villarreal,1,0
Espanyol,Atletico Madrid,1,1
Mallorca,Getafe,0,1
Real Madrid,Barcelona,2,0
Real Betis,Mallorca,3,3
Celta Vigo,Leganes,1,0
Barcelona,Eibar,5,0
Real Sociedad,Valencia,3,0
Levante,Real Madrid,1,0
Osasuna,Granada,0,3
Deportivo Alaves,Athletic Bilbao,2,1
