name,team,min,goal,assist,shot,pass,aer,mom,rating
Lionel Messi,Barcelona,2881,25,21,4.8,0.826,0.3,22,8.71
Casemiro,Real Madrid,3091,4,3,1.3,0.841,2.9,3,7.47
Karim Benzema,Real Madrid,3155,21,8,3.4,0.862,0.8,10,7.44
Luis Suárez,Barcelona,2002,16,8,2.8,0.755,0.4,3,7.33
Mikel Merino,Real Sociedad,3144,5,1,1.2,0.758,5.1,5,7.31
Gerard Moreno,Villarreal,2755,18,5,2.5,0.745,1.6,6,7.31
Nabil Fekir,Real Betis,2652,7,4,3.2,0.8390000000000001,1.0,8,7.22
Saúl Ñíguez,Atletico,3076,6,0,1.3,0.7929999999999999,3.4,5,7.22
Joselu,Deportivo Alaves,2786,11,2,2.4,0.52,8.7,10,7.22
Lucas Ocampos,Sevilla,2756,14,3,2.5,0.799,0.9,4,7.21
Lionel Messi,Barcelona,2881,25,21,4.8,0.826,0.3,22,8.71
Guillermo Maripán,Deportivo Alaves,90,0,0,0.0,0.75,5.0,0,7.54
Casemiro,Real Madrid,3091,4,3,1.3,0.841,2.9,3,7.47
Karim Benzema,Real Madrid,3155,21,8,3.4,0.862,0.8,10,7.44
Luis Suárez,Barcelona,2002,16,8,2.8,0.755,0.4,3,7.33
Mikel Merino,Real Sociedad,3144,5,1,1.2,0.758,5.1,5,7.31
Gerard Moreno,Villarreal,2755,18,5,2.5,0.745,1.6,6,7.31
Eden Hazard,Real Madrid,1088,1,3,1.2,0.8590000000000001,0.4,1,7.3
Nabil Fekir,Real Betis,2652,7,4,3.2,0.8390000000000001,1.0,8,7.22
Saúl Ñíguez,Atletico,3076,6,0,1.3,0.7929999999999999,3.4,5,7.22
Joselu,Deportivo Alaves,2786,11,2,2.4,0.52,8.7,10,7.22
Lucas Ocampos,Sevilla,2756,14,3,2.5,0.799,0.9,4,7.21
Raúl García,Athletic Bilbao,2878,15,1,2.3,0.5589999999999999,6.1,6,7.21
Toni Kroos,Real Madrid,2656,4,5,1.6,0.935,0.3,2,7.2
Dani Carvajal,Real Madrid,2741,1,5,0.6,0.866,0.9,3,7.18
Santi Cazorla,Villarreal,2461,11,9,1.4,0.8640000000000001,0.3,2,7.17
Koke Vegas,Levante,180,0,0,0.0,0.633,0.0,0,7.16
Chimy Avila,Osasuna,1593,9,2,3.5,0.5720000000000001,3.1,5,7.16
Marcelo,Real Madrid,1299,1,2,1.1,0.8420000000000001,0.7,1,7.15
Nacho,Real Madrid,438,1,0,1.0,0.868,2.7,1,7.14
Rafinha,Celta Vigo,2121,4,1,1.1,0.871,0.9,4,7.13
Martin Ødegaard,Real Sociedad,2533,4,6,1.6,0.847,0.3,4,7.1
Éver Banega,Sevilla,2483,3,7,1.2,0.86,0.5,4,7.1
Sergio Reguilón,Sevilla,2509,2,4,0.9,0.8140000000000001,1.3,2,7.1
Thomas Partey,Atletico,2553,3,0,0.9,0.8340000000000001,1.9,4,7.08
Sébastien Corchia,Espanyol,270,0,0,1.0,0.852,0.0,1,7.08
Sergio Ramos,Real Madrid,3017,11,0,1.1,0.91,2.0,1,7.07
Sergio Busquets,Barcelona,2491,2,2,0.3,0.899,1.2,1,7.07
André Frank Zambo Anguissa,Villarreal,2582,2,0,0.8,0.878,2.3,5,7.06
Mikel Oyarzabal,Real Sociedad,3063,10,11,1.7,0.775,1.3,5,7.05
Gerard Piqué,Barcelona,3096,1,0,0.4,0.9179999999999999,3.7,1,7.03
Yassine Bounou,Sevilla,495,0,1,0.0,0.688,0.5,2,7.03
Koke,Atletico,2699,4,5,0.7,0.852,0.9,1,7.02
Dani Parejo,Valencia,3030,8,3,1.0,0.863,0.5,6,7.01
Luka Modric,Real Madrid,1998,3,7,1.0,0.8859999999999999,0.4,4,7.01
Ferland Mendy,Real Madrid,1806,1,2,0.3,0.879,1.0,0,7.01
Santiago Arias,Atletico,1076,0,1,0.4,0.782,1.8,0,7.0
José Campaña,Levante,3160,2,7,1.2,0.8140000000000001,1.2,1,7.0
Yeray Álvarez,Athletic Bilbao,2811,0,0,0.4,0.7829999999999999,3.4,1,6.99
Kieran Trippier,Atletico,1981,0,4,0.1,0.767,1.1,0,6.99
Iago Aspas,Celta Vigo,3268,14,3,2.3,0.77,0.8,2,6.99
Raphaël Varane,Real Madrid,2823,2,1,0.3,0.873,2.5,1,6.98
Aitor Fernández,Levante,3240,0,0,0.0,0.615,0.4,2,6.97
Jeison Murillo,Celta Vigo,1529,1,0,0.5,0.866,3.2,1,6.97
Antoine Griezmann,Barcelona,2562,9,4,1.6,0.818,0.9,1,6.97
Felipe,Atletico,2099,1,0,0.8,0.768,3.8,1,6.97
Víctor García,Real Valladolid,88,1,0,1.0,0.647,0.5,0,6.97
Fernando,Sevilla,2658,2,3,0.4,0.8759999999999999,2.2,1,6.96
Adri Embarba,Espanyol,1381,2,4,2.2,0.684,0.6,2,6.96
Sergio Escudero,Sevilla,774,1,0,0.7,0.813,2.3,0,6.95
Yangel Herrera,Granada,2376,2,3,1.1,0.752,2.7,1,6.95
Munir El Haddadi,Sevilla,1256,5,2,2.1,0.79,1.1,3,6.95
Joan Jordán,Sevilla,2267,2,2,0.9,0.873,1.0,2,6.94
Yuri Berchiche,Athletic Bilbao,2853,2,1,1.1,0.818,1.6,1,6.94
Oier Olazábal,Espanyol,180,0,0,0.0,0.7709999999999999,0.0,0,6.93
Rafinha,Barcelona,187,0,0,2.0,0.9,0.0,0,6.93
Ante Budimir,Mallorca,2782,13,2,1.6,0.64,4.7,3,6.92
James Rodríguez,Real Madrid,419,1,1,1.1,0.823,0.6,0,6.91
Fabián Orellana,Eibar,2398,8,7,1.4,0.769,0.6,2,6.91
Pervis Estupiñán,Osasuna,2978,1,5,0.5,0.746,1.2,4,6.91
